participant_id,task_id,condition_label,mark_label,item_id,final_cue,final_score,top_pattern_id,top_pattern_name,top_pattern_source,matched_pattern_ids,evidence_1,evidence_2,evidence_3,natural_language_explanation,answer_initial_slot,answer_expected_slots,answer_expected_angle,answer_slot_change,answer_total_angle,answer_current_angle,answer_path_ratio,answer_slot_ratio,answer_angle_ratio,answer_direct_path,answer_low_path_effort,answer_extra_path,answer_path_under_expected,answer_high_speed,answer_low_correction,answer_high_correction,confidence_initial_slot,confidence_expected_slots,confidence_expected_angle,confidence_slot_change,confidence_total_angle,confidence_current_angle,confidence_path_ratio,confidence_direct_path,confidence_high_speed,confidence_low_correction,confidence_hesitant,selected_score,confidence_score,read_rt,answer_rt,confidence_rt,answer_max_speed,answer_reverse,answer_micro,confidence_max_speed,confidence_reverse,confidence_micro,all_matched_patterns_json,primitive_flags_json,claim_boundary
1,4,Pilot,Q1-1,l1_overview_check,careful / efficient,0.06,PAXSM_EFFICIENT_DIRECT,Efficient direct response,PAXSM-specific efficient-response pattern,PAXSM_EFFICIENT_DIRECT,Answer path is direct (path_ratio=1.0).,Answer speed is not high (maxAbsVel=6.6694).,"Answer correction is low (reverseCount=0.0, microAdjustCount=0.0).","The answer was direct but not high-speed, correction was low, and confidence was high. Evidence: Answer path is direct (path_ratio=1.0). Answer speed is not high (maxAbsVel=6.6694). Answer correction is low (reverseCount=0.0, microAdjustCount=0.0).",4.0,3.0,60.0,3.0,60.0,60.0,1.0,1.0,1.0,True,True,False,False,False,True,False,3.0,2.0,40.0,2.0,60.0,60.0,1.0,True,False,True,False,7.0,5.0,13.9501,3.0087,2.5058,6.6694,0.0,0.0,8.0598,0.0,0.0,"[{""pattern_id"": ""PAXSM_EFFICIENT_DIRECT"", ""pattern_name"": ""Efficient direct response"", ""pattern_source"": ""PAXSM-specific efficient-response pattern"", ""cue"": ""careful / efficient"", ""priority"": 25, ""score"": 0.06, ""required_all"": [""answer_direct_path"", ""answer_not_high_speed"", ""answer_low_correction"", ""confidence_high""], ""required_any"": [], ""optional_hits"": [], ""explanation_template"": ""The answer was direct but not high-speed, correction was low, and confidence was high.""}]","{""read_rt_invalid"": false, ""read_rt_suspiciously_tiny"": false, ""read_short"": false, ""read_not_short"": true, ""answer_direct_path"": true, ""answer_low_path_effort"": true, ""answer_extra_path"": false, ""answer_path_under_expected"": false, ""answer_high_speed"": false, ""answer_not_high_speed"": true, ""answer_low_correction"": true, ""answer_high_correction"": false, ""answer_abrupt"": false, ""confidence_direct_path"": true, ""confidence_low_path_effort"": true, ""confidence_extra_path"": false, ""confidence_path_under_expected"": false, ""confidence_high_speed"": false, ""confidence_not_high_speed"": true, ""confidence_low_correction"": true, ""confidence_high_correction"": false, ""confidence_abrupt"": false, ""confidence_low"": false, ""confidence_high"": true, ""confidence_long"": false, ""confidence_hesitant"": false, ""answer_rushed_like"": false, ""confidence_rushed_like"": false}",researcher-facing response-process review cue; not an automatic careless-response decision
1,4,Pilot,Q2-1,l2_compare_options,indecisive / difficult item,0.49,PAXSM_UNSTABLE_EXTRA_PATH,PAXSM unstable or extra-adjustment item process,PAXSM-specific item process,PAXSM_UNSTABLE_EXTRA_PATH,Answer path shows extra movement (path_ratio=7.0).,"Answer speed is high or flick-like (maxAbsVel=37.4545, fastFlickCount=0.0).","Answer correction is high (reverseCount=3.0, microAdjustCount=1.0).","This item showed extra movement, repeated correction, or hesitant confidence. This is better interpreted as uncertainty, item difficulty, or interaction instability than a simple rushed response. Evidence: Answer path shows extra movement (path_ratio=7.0). Answer speed is high or flick-like (maxAbsVel=37.4545, fastFlickCount=0.0). Answer correction is high (reverseCount=3.0, microAdjustCount=1.0).",7.0,1.0,20.0,7.0,140.0,40.0,7.0,7.0,7.0,False,False,True,False,True,False,True,5.0,1.0,20.0,1.0,30.0,30.0,1.0,True,False,True,False,6.0,4.0,12.4158,3.6052,2.7423,37.4545,3.0,1.0,1.2617,0.0,0.0,"[{""pattern_id"": ""PAXSM_UNSTABLE_EXTRA_PATH"", ""pattern_name"": ""PAXSM unstable or extra-adjustment item process"", ""pattern_source"": ""PAXSM-specific item process"", ""cue"": ""indecisive / difficult item"", ""priority"": 55, ""score"": 0.49, ""required_all"": [], ""required_any"": [""answer_extra_path"", ""answer_high_correction"", ""confidence_hesitant""], ""optional_hits"": [], ""explanation_template"": ""This item showed extra movement, repeated correction, or hesitant confidence. This is better interpreted as uncertainty, item difficulty, or interaction instability than a simple rushed response.""}]","{""read_rt_invalid"": false, ""read_rt_suspiciously_tiny"": false, ""read_short"": false, ""read_not_short"": true, ""answer_direct_path"": false, ""answer_low_path_effort"": false, ""answer_extra_path"": true, ""answer_path_under_expected"": false, ""answer_high_speed"": true, ""answer_not_high_speed"": false, ""answer_low_correction"": false, ""answer_high_correction"": true, ""answer_abrupt"": false, ""confidence_direct_path"": true, ""confidence_low_path_effort"": true, ""confidence_extra_path"": false, ""confidence_path_under_expected"": false, ""confidence_high_speed"": false, ""confidence_not_high_speed"": true, ""confidence_low_correction"": true, ""confidence_high_correction"": false, ""confidence_abrupt"": false, ""confidence_low"": false, ""confidence_high"": false, ""confidence_long"": false, ""confidence_hesitant"": false, ""answer_rushed_like"": false, ""confidence_rushed_like"": false}",researcher-facing response-process review cue; not an automatic careless-response decision
1,4,Pilot,Q3-1,l3_avoid_random,normal / reviewable,0.12,PAXSM_NORMAL_REVIEWABLE,No strong pattern match,PAXSM default,PAXSM_NORMAL_REVIEWABLE,Answer speed is not high (maxAbsVel=7.9949).,"Answer correction is low (reverseCount=1.0, microAdjustCount=0.0).",Read RT is not short (7.5019s).,"No major fixed-rule response-process concern was detected. Evidence: Answer speed is not high (maxAbsVel=7.9949). Answer correction is low (reverseCount=1.0, microAdjustCount=0.0). Read RT is not short (7.5019s).",6.0,1.0,20.0,3.0,60.0,20.0,3.0,3.0,3.0,False,False,False,False,False,True,False,4.0,1.0,20.0,2.0,60.0,30.0,2.0,False,False,True,False,5.0,4.0,7.5019,3.0212,2.8259,7.9949,1.0,0.0,7.1939,1.0,0.0,[],"{""read_rt_invalid"": false, ""read_rt_suspiciously_tiny"": false, ""read_short"": false, ""read_not_short"": true, ""answer_direct_path"": false, ""answer_low_path_effort"": false, ""answer_extra_path"": false, ""answer_path_under_expected"": false, ""answer_high_speed"": false, ""answer_not_high_speed"": true, ""answer_low_correction"": true, ""answer_high_correction"": false, ""answer_abrupt"": false, ""confidence_direct_path"": false, ""confidence_low_path_effort"": false, ""confidence_extra_path"": false, ""confidence_path_under_expected"": false, ""confidence_high_speed"": false, ""confidence_not_high_speed"": true, ""confidence_low_correction"": true, ""confidence_high_correction"": false, ""confidence_abrupt"": false, ""confidence_low"": false, ""confidence_high"": false, ""confidence_long"": false, ""confidence_hesitant"": false, ""answer_rushed_like"": false, ""confidence_rushed_like"": false}",researcher-facing response-process review cue; not an automatic careless-response decision
1,4,Pilot,Q4-1,l4_pause_if_unsure,normal / reviewable,0.12,PAXSM_NORMAL_REVIEWABLE,No strong pattern match,PAXSM default,PAXSM_NORMAL_REVIEWABLE,Answer path is direct (path_ratio=1.0).,Answer speed is not high (maxAbsVel=9.022).,"Answer correction is low (reverseCount=0.0, microAdjustCount=0.0).","No major fixed-rule response-process concern was detected. Evidence: Answer path is direct (path_ratio=1.0). Answer speed is not high (maxAbsVel=9.022). Answer correction is low (reverseCount=0.0, microAdjustCount=0.0).",5.0,1.0,20.0,1.0,20.0,40.0,1.0,1.0,1.0,True,True,False,False,False,True,False,4.0,1.0,20.0,2.0,60.0,30.0,2.0,False,False,True,False,6.0,4.0,11.2186,3.2301,2.3666,9.022,0.0,0.0,7.1879,1.0,0.0,[],"{""read_rt_invalid"": false, ""read_rt_suspiciously_tiny"": false, ""read_short"": false, ""read_not_short"": true, ""answer_direct_path"": true, ""answer_low_path_effort"": true, ""answer_extra_path"": false, ""answer_path_under_expected"": false, ""answer_high_speed"": false, ""answer_not_high_speed"": true, ""answer_low_correction"": true, ""answer_high_correction"": false, ""answer_abrupt"": false, ""confidence_direct_path"": false, ""confidence_low_path_effort"": false, ""confidence_extra_path"": false, ""confidence_path_under_expected"": false, ""confidence_high_speed"": false, ""confidence_not_high_speed"": true, ""confidence_low_correction"": true, ""confidence_high_correction"": false, ""confidence_abrupt"": false, ""confidence_low"": false, ""confidence_high"": false, ""confidence_long"": false, ""confidence_hesitant"": false, ""answer_rushed_like"": false, ""confidence_rushed_like"": false}",researcher-facing response-process review cue; not an automatic careless-response decision
1,4,Pilot,Q5-1,l5_read_details,careful / efficient,0.06,PAXSM_EFFICIENT_DIRECT,Efficient direct response,PAXSM-specific efficient-response pattern,PAXSM_EFFICIENT_DIRECT,Answer path is direct (path_ratio=1.0).,Answer speed is not high (maxAbsVel=6.571).,"Answer correction is low (reverseCount=0.0, microAdjustCount=0.0).","The answer was direct but not high-speed, correction was low, and confidence was high. Evidence: Answer path is direct (path_ratio=1.0). Answer speed is not high (maxAbsVel=6.571). Answer correction is low (reverseCount=0.0, microAdjustCount=0.0).",6.0,1.0,20.0,1.0,20.0,60.0,1.0,1.0,1.0,True,True,False,False,False,True,False,4.0,1.0,20.0,1.0,30.0,60.0,1.0,True,False,True,False,7.0,5.0,9.7297,3.2433,2.1857,6.571,0.0,0.0,5.128,0.0,0.0,"[{""pattern_id"": ""PAXSM_EFFICIENT_DIRECT"", ""pattern_name"": ""Efficient direct response"", ""pattern_source"": ""PAXSM-specific efficient-response pattern"", ""cue"": ""careful / efficient"", ""priority"": 25, ""score"": 0.06, ""required_all"": [""answer_direct_path"", ""answer_not_high_speed"", ""answer_low_correction"", ""confidence_high""], ""required_any"": [], ""optional_hits"": [], ""explanation_template"": ""The answer was direct but not high-speed, correction was low, and confidence was high.""}]","{""read_rt_invalid"": false, ""read_rt_suspiciously_tiny"": false, ""read_short"": false, ""read_not_short"": true, ""answer_direct_path"": true, ""answer_low_path_effort"": true, ""answer_extra_path"": false, ""answer_path_under_expected"": false, ""answer_high_speed"": false, ""answer_not_high_speed"": true, ""answer_low_correction"": true, ""answer_high_correction"": false, ""answer_abrupt"": false, ""confidence_direct_path"": true, ""confidence_low_path_effort"": true, ""confidence_extra_path"": false, ""confidence_path_under_expected"": false, ""confidence_high_speed"": false, ""confidence_not_high_speed"": true, ""confidence_low_correction"": true, ""confidence_high_correction"": false, ""confidence_abrupt"": false, ""confidence_low"": false, ""confidence_high"": true, ""confidence_long"": false, ""confidence_hesitant"": false, ""answer_rushed_like"": false, ""confidence_rushed_like"": false}",researcher-facing response-process review cue; not an automatic careless-response decision
1,4,Pilot,Q6-1,l6_break_down_complex,indecisive / difficult item,0.335,PAXSM_UNSTABLE_EXTRA_PATH,PAXSM unstable or extra-adjustment item process,PAXSM-specific item process,PAXSM_UNSTABLE_EXTRA_PATH,Answer speed is not high (maxAbsVel=1.7108).,"Answer correction is high (reverseCount=2.0, microAdjustCount=1.0).","Confidence stage shows hesitation or uncertainty (confidence=4.0, reverseCount(C)=3.0, microAdjustCount(C)=1.0, rt_conf=3.7166s).","This item showed extra movement, repeated correction, or hesitant confidence. This is better interpreted as uncertainty, item difficulty, or interaction instability than a simple rushed response. Evidence: Answer speed is not high (maxAbsVel=1.7108). Answer correction is high (reverseCount=2.0, microAdjustCount=1.0). Confidence stage shows hesitation or uncertainty (confidence=4.0, reverseCount(C)=3.0, microAdjustCount(C)=1.0, rt_conf=3.7166s).",7.0,1.0,20.0,3.0,60.0,40.0,3.0,3.0,3.0,False,False,False,False,False,False,True,5.0,1.0,20.0,5.0,150.0,30.0,5.0,False,True,False,True,6.0,4.0,12.3323,4.6076,3.7166,1.7108,2.0,1.0,23.9139,3.0,1.0,"[{""pattern_id"": ""PAXSM_UNSTABLE_EXTRA_PATH"", ""pattern_name"": ""PAXSM unstable or extra-adjustment item process"", ""pattern_source"": ""PAXSM-specific item process"", ""cue"": ""indecisive / difficult item"", ""priority"": 55, ""score"": 0.335, ""required_all"": [], ""required_any"": [""answer_extra_path"", ""answer_high_correction"", ""confidence_hesitant""], ""optional_hits"": [], ""explanation_template"": ""This item showed extra movement, repeated correction, or hesitant confidence. This is better interpreted as uncertainty, item difficulty, or interaction instability than a simple rushed response.""}]","{""read_rt_invalid"": false, ""read_rt_suspiciously_tiny"": false, ""read_short"": false, ""read_not_short"": true, ""answer_direct_path"": false, ""answer_low_path_effort"": false, ""answer_extra_path"": false, ""answer_path_under_expected"": false, ""answer_high_speed"": false, ""answer_not_high_speed"": true, ""answer_low_correction"": false, ""answer_high_correction"": true, ""answer_abrupt"": false, ""confidence_direct_path"": false, ""confidence_low_path_effort"": false, ""confidence_extra_path"": true, ""confidence_path_under_expected"": false, ""confidence_high_speed"": true, ""confidence_not_high_speed"": false, ""confidence_low_correction"": false, ""confidence_high_correction"": true, ""confidence_abrupt"": false, ""confidence_low"": false, ""confidence_high"": false, ""confidence_long"": false, ""confidence_hesitant"": true, ""answer_rushed_like"": false, ""confidence_rushed_like"": false}",researcher-facing response-process review cue; not an automatic careless-response decision
1,4,Pilot,Q7-1,l7_submit_when_confident,careful / efficient,0.06,PAXSM_EFFICIENT_DIRECT,Efficient direct response,PAXSM-specific efficient-response pattern,PAXSM_EFFICIENT_DIRECT,Answer path is direct (path_ratio=1.0).,Answer speed is not high (maxAbsVel=14.5862).,"Answer correction is low (reverseCount=0.0, microAdjustCount=0.0).","The answer was direct but not high-speed, correction was low, and confidence was high. Evidence: Answer path is direct (path_ratio=1.0). Answer speed is not high (maxAbsVel=14.5862). Answer correction is low (reverseCount=0.0, microAdjustCount=0.0).",6.0,1.0,20.0,1.0,20.0,60.0,1.0,1.0,1.0,True,True,False,False,False,True,False,4.0,1.0,20.0,1.0,30.0,60.0,1.0,True,False,True,False,7.0,5.0,19.8501,2.3522,2.1297,14.5862,0.0,0.0,10.3614,0.0,0.0,"[{""pattern_id"": ""PAXSM_EFFICIENT_DIRECT"", ""pattern_name"": ""Efficient direct response"", ""pattern_source"": ""PAXSM-specific efficient-response pattern"", ""cue"": ""careful / efficient"", ""priority"": 25, ""score"": 0.06, ""required_all"": [""answer_direct_path"", ""answer_not_high_speed"", ""answer_low_correction"", ""confidence_high""], ""required_any"": [], ""optional_hits"": [], ""explanation_template"": ""The answer was direct but not high-speed, correction was low, and confidence was high.""}]","{""read_rt_invalid"": false, ""read_rt_suspiciously_tiny"": false, ""read_short"": false, ""read_not_short"": true, ""answer_direct_path"": true, ""answer_low_path_effort"": true, ""answer_extra_path"": false, ""answer_path_under_expected"": false, ""answer_high_speed"": false, ""answer_not_high_speed"": true, ""answer_low_correction"": true, ""answer_high_correction"": false, ""answer_abrupt"": false, ""confidence_direct_path"": true, ""confidence_low_path_effort"": true, ""confidence_extra_path"": false, ""confidence_path_under_expected"": false, ""confidence_high_speed"": false, ""confidence_not_high_speed"": true, ""confidence_low_correction"": true, ""confidence_high_correction"": false, ""confidence_abrupt"": false, ""confidence_low"": false, ""confidence_high"": true, ""confidence_long"": false, ""confidence_hesitant"": false, ""answer_rushed_like"": false, ""confidence_rushed_like"": false}",researcher-facing response-process review cue; not an automatic careless-response decision
