participant_id,task_id,condition_label,mark_label,item_id,final_cue,final_score,top_pattern_id,top_pattern_name,top_pattern_source,matched_pattern_ids,evidence_1,evidence_2,evidence_3,natural_language_explanation,answer_initial_slot,answer_expected_slots,answer_expected_angle,answer_slot_change,answer_total_angle,answer_current_angle,answer_path_ratio,answer_slot_ratio,answer_angle_ratio,answer_direct_path,answer_low_path_effort,answer_extra_path,answer_path_under_expected,answer_high_speed,answer_low_correction,answer_high_correction,confidence_initial_slot,confidence_expected_slots,confidence_expected_angle,confidence_slot_change,confidence_total_angle,confidence_current_angle,confidence_path_ratio,confidence_direct_path,confidence_high_speed,confidence_low_correction,confidence_hesitant,selected_score,confidence_score,read_rt,answer_rt,confidence_rt,answer_max_speed,answer_reverse,answer_micro,confidence_max_speed,confidence_reverse,confidence_micro,all_matched_patterns_json,primitive_flags_json,claim_boundary
1,4,Pilot,Q8-1,s1_focused,possible rushed-like,0.772,MC_E_S_LOW_CORRECTION,Mouse-Chase-informed fast low-effort with low correction,Mouse-Chase ablation pattern E+S plus low backtracking,MC_E_S_LOW_CORRECTION; MC_E_S_ABRUPT; MC_E_S_CORE; PAXSM_QUICK_ACCEPTABLE,Answer path is direct (path_ratio=0.0).,"Answer speed is high or flick-like (maxAbsVel=0.0, fastFlickCount=1.0).","Answer correction is low (reverseCount=0.0, microAdjustCount=0.0).","The Answer stage matched the Mouse-Chase-informed fast low-effort pattern: low path effort, high speed, and little correction. Evidence: Answer path is direct (path_ratio=0.0). Answer speed is high or flick-like (maxAbsVel=0.0, fastFlickCount=1.0). Answer correction is low (reverseCount=0.0, microAdjustCount=0.0).",7.0,1.0,20.0,0.0,0.0,60.0,0.0,0.0,0.0,True,True,False,False,True,True,False,5.0,1.0,20.0,0.0,0.0,60.0,0.0,True,True,True,False,7.0,5.0,3.9523,2.1026,1.9353,0.0,0.0,0.0,0.0,0.0,0.0,"[{""pattern_id"": ""MC_E_S_LOW_CORRECTION"", ""pattern_name"": ""Mouse-Chase-informed fast low-effort with low correction"", ""pattern_source"": ""Mouse-Chase ablation pattern E+S plus low backtracking"", ""cue"": ""possible rushed-like"", ""priority"": 80, ""score"": 0.772, ""required_all"": [""answer_low_path_effort"", ""answer_high_speed"", ""answer_low_correction""], ""required_any"": [], ""optional_hits"": [""answer_abrupt"", ""confidence_rushed_like""], ""explanation_template"": ""The Answer stage matched the Mouse-Chase-informed fast low-effort pattern: low path effort, high speed, and little correction.""}, {""pattern_id"": ""MC_E_S_ABRUPT"", ""pattern_name"": ""Mouse-Chase-informed abrupt fast low-effort support"", ""pattern_source"": ""Mouse-Chase ablation pattern E+S+A"", ""cue"": ""possible rushed-like support"", ""priority"": 72, ""score"": 0.692, ""required_all"": [""answer_low_path_effort"", ""answer_high_speed"", ""answer_abrupt""], ""required_any"": [], ""optional_hits"": [""answer_low_correction""], ""explanation_template"": ""The Answer stage showed low path effort and high speed with abrupt/flick-like movement.""}, {""pattern_id"": ""MC_E_S_CORE"", ""pattern_name"": ""Mouse-Chase-informed fast low-effort core"", ""pattern_source"": ""Mouse-Chase ablation pattern E+S"", ""cue"": ""possible rushed-like support"", ""priority"": 70, ""score"": 0.652, ""required_all"": [""answer_low_path_effort"", ""answer_high_speed""], ""required_any"": [], ""optional_hits"": [""answer_low_correction"", ""answer_abrupt""], ""explanation_template"": ""The Answer stage matched the core Mouse-Chase-informed pattern: low path effort plus high speed.""}, {""pattern_id"": ""PAXSM_QUICK_ACCEPTABLE"", ""pattern_name"": ""Quick but confidence-supported response"", ""pattern_source"": ""PAXSM Answer-Confidence extension"", ""cue"": ""quick but acceptable"", ""priority"": 45, ""score"": 0.2975, ""required_all"": [""answer_rushed_like"", ""confidence_high""], ""required_any"": [], ""optional_hits"": [], ""explanation_template"": ""The answer was quick and direct, but the confidence value was high and did not show strong hesitation.""}]","{""read_rt_invalid"": false, ""read_rt_suspiciously_tiny"": false, ""read_short"": false, ""read_not_short"": true, ""answer_direct_path"": true, ""answer_low_path_effort"": true, ""answer_extra_path"": false, ""answer_path_under_expected"": false, ""answer_high_speed"": true, ""answer_not_high_speed"": false, ""answer_low_correction"": true, ""answer_high_correction"": false, ""answer_abrupt"": true, ""confidence_direct_path"": true, ""confidence_low_path_effort"": true, ""confidence_extra_path"": false, ""confidence_path_under_expected"": false, ""confidence_high_speed"": true, ""confidence_not_high_speed"": false, ""confidence_low_correction"": true, ""confidence_high_correction"": false, ""confidence_abrupt"": true, ""confidence_low"": false, ""confidence_high"": true, ""confidence_long"": false, ""confidence_hesitant"": false, ""answer_rushed_like"": true, ""confidence_rushed_like"": true}",researcher-facing response-process review cue; not an automatic careless-response decision
1,4,Pilot,Q9-1,s2_distracted,indecisive / difficult item,0.306,PAXSM_UNSTABLE_EXTRA_PATH,PAXSM unstable or extra-adjustment item process,PAXSM-specific item process,PAXSM_UNSTABLE_EXTRA_PATH,Answer path is direct (path_ratio=1.0).,Answer speed is not high (maxAbsVel=3.1264).,"Answer correction is low (reverseCount=0.0, microAdjustCount=0.0).","This item showed extra movement, repeated correction, or hesitant confidence. This is better interpreted as uncertainty, item difficulty, or interaction instability than a simple rushed response. Evidence: Answer path is direct (path_ratio=1.0). Answer speed is not high (maxAbsVel=3.1264). Answer correction is low (reverseCount=0.0, microAdjustCount=0.0).",7.0,3.0,60.0,3.0,60.0,0.0,1.0,1.0,1.0,True,True,False,False,False,True,False,5.0,2.0,40.0,4.0,120.0,0.0,2.0,False,False,False,True,4.0,3.0,3.9103,3.2298,3.8573,3.1264,0.0,0.0,14.4257,2.0,1.0,"[{""pattern_id"": ""PAXSM_UNSTABLE_EXTRA_PATH"", ""pattern_name"": ""PAXSM unstable or extra-adjustment item process"", ""pattern_source"": ""PAXSM-specific item process"", ""cue"": ""indecisive / difficult item"", ""priority"": 55, ""score"": 0.306, ""required_all"": [], ""required_any"": [""answer_extra_path"", ""answer_high_correction"", ""confidence_hesitant""], ""optional_hits"": [], ""explanation_template"": ""This item showed extra movement, repeated correction, or hesitant confidence. This is better interpreted as uncertainty, item difficulty, or interaction instability than a simple rushed response.""}]","{""read_rt_invalid"": false, ""read_rt_suspiciously_tiny"": false, ""read_short"": false, ""read_not_short"": true, ""answer_direct_path"": true, ""answer_low_path_effort"": true, ""answer_extra_path"": false, ""answer_path_under_expected"": false, ""answer_high_speed"": false, ""answer_not_high_speed"": true, ""answer_low_correction"": true, ""answer_high_correction"": false, ""answer_abrupt"": false, ""confidence_direct_path"": false, ""confidence_low_path_effort"": false, ""confidence_extra_path"": false, ""confidence_path_under_expected"": false, ""confidence_high_speed"": false, ""confidence_not_high_speed"": true, ""confidence_low_correction"": false, ""confidence_high_correction"": true, ""confidence_abrupt"": false, ""confidence_low"": true, ""confidence_high"": false, ""confidence_long"": false, ""confidence_hesitant"": true, ""answer_rushed_like"": false, ""confidence_rushed_like"": false}",researcher-facing response-process review cue; not an automatic careless-response decision
1,4,Pilot,Q10-1,s3_casual,indecisive / difficult item,0.416,PAXSM_UNSTABLE_EXTRA_PATH,PAXSM unstable or extra-adjustment item process,PAXSM-specific item process,PAXSM_UNSTABLE_EXTRA_PATH,Answer path shows extra movement (path_ratio=5.0).,Answer speed is not high (maxAbsVel=2.3167).,"Answer correction is low (reverseCount=1.0, microAdjustCount=1.0).","This item showed extra movement, repeated correction, or hesitant confidence. This is better interpreted as uncertainty, item difficulty, or interaction instability than a simple rushed response. Evidence: Answer path shows extra movement (path_ratio=5.0). Answer speed is not high (maxAbsVel=2.3167). Answer correction is low (reverseCount=1.0, microAdjustCount=1.0).",4.0,1.0,20.0,5.0,100.0,-20.0,5.0,5.0,5.0,False,False,True,False,False,True,False,3.0,1.0,20.0,1.0,30.0,-30.0,1.0,True,False,True,True,3.0,2.0,5.3154,4.539,2.3946,2.3167,1.0,1.0,4.4719,0.0,0.0,"[{""pattern_id"": ""PAXSM_UNSTABLE_EXTRA_PATH"", ""pattern_name"": ""PAXSM unstable or extra-adjustment item process"", ""pattern_source"": ""PAXSM-specific item process"", ""cue"": ""indecisive / difficult item"", ""priority"": 55, ""score"": 0.416, ""required_all"": [], ""required_any"": [""answer_extra_path"", ""answer_high_correction"", ""confidence_hesitant""], ""optional_hits"": [], ""explanation_template"": ""This item showed extra movement, repeated correction, or hesitant confidence. This is better interpreted as uncertainty, item difficulty, or interaction instability than a simple rushed response.""}]","{""read_rt_invalid"": false, ""read_rt_suspiciously_tiny"": false, ""read_short"": false, ""read_not_short"": true, ""answer_direct_path"": false, ""answer_low_path_effort"": false, ""answer_extra_path"": true, ""answer_path_under_expected"": false, ""answer_high_speed"": false, ""answer_not_high_speed"": true, ""answer_low_correction"": true, ""answer_high_correction"": false, ""answer_abrupt"": false, ""confidence_direct_path"": true, ""confidence_low_path_effort"": true, ""confidence_extra_path"": false, ""confidence_path_under_expected"": false, ""confidence_high_speed"": false, ""confidence_not_high_speed"": true, ""confidence_low_correction"": true, ""confidence_high_correction"": false, ""confidence_abrupt"": false, ""confidence_low"": true, ""confidence_high"": false, ""confidence_long"": false, ""confidence_hesitant"": true, ""answer_rushed_like"": false, ""confidence_rushed_like"": false}",researcher-facing response-process review cue; not an automatic careless-response decision
1,4,Pilot,Q11-1,s4_double_check,indecisive / difficult item,0.272,PAXSM_UNSTABLE_EXTRA_PATH,PAXSM unstable or extra-adjustment item process,PAXSM-specific item process,PAXSM_UNSTABLE_EXTRA_PATH,Answer path is direct (path_ratio=1.0).,Answer speed is not high (maxAbsVel=12.0316).,"Answer correction is low (reverseCount=0.0, microAdjustCount=0.0).","This item showed extra movement, repeated correction, or hesitant confidence. This is better interpreted as uncertainty, item difficulty, or interaction instability than a simple rushed response. Evidence: Answer path is direct (path_ratio=1.0). Answer speed is not high (maxAbsVel=12.0316). Answer correction is low (reverseCount=0.0, microAdjustCount=0.0).",3.0,3.0,60.0,3.0,60.0,40.0,1.0,1.0,1.0,True,True,False,False,False,True,False,2.0,2.0,40.0,4.0,120.0,30.0,2.0,False,False,False,True,6.0,4.0,3.3397,2.8262,3.0627,12.0316,0.0,0.0,7.0212,2.0,1.0,"[{""pattern_id"": ""PAXSM_UNSTABLE_EXTRA_PATH"", ""pattern_name"": ""PAXSM unstable or extra-adjustment item process"", ""pattern_source"": ""PAXSM-specific item process"", ""cue"": ""indecisive / difficult item"", ""priority"": 55, ""score"": 0.272, ""required_all"": [], ""required_any"": [""answer_extra_path"", ""answer_high_correction"", ""confidence_hesitant""], ""optional_hits"": [], ""explanation_template"": ""This item showed extra movement, repeated correction, or hesitant confidence. This is better interpreted as uncertainty, item difficulty, or interaction instability than a simple rushed response.""}]","{""read_rt_invalid"": false, ""read_rt_suspiciously_tiny"": false, ""read_short"": false, ""read_not_short"": true, ""answer_direct_path"": true, ""answer_low_path_effort"": true, ""answer_extra_path"": false, ""answer_path_under_expected"": false, ""answer_high_speed"": false, ""answer_not_high_speed"": true, ""answer_low_correction"": true, ""answer_high_correction"": false, ""answer_abrupt"": false, ""confidence_direct_path"": false, ""confidence_low_path_effort"": false, ""confidence_extra_path"": false, ""confidence_path_under_expected"": false, ""confidence_high_speed"": false, ""confidence_not_high_speed"": true, ""confidence_low_correction"": false, ""confidence_high_correction"": true, ""confidence_abrupt"": false, ""confidence_low"": false, ""confidence_high"": false, ""confidence_long"": false, ""confidence_hesitant"": true, ""answer_rushed_like"": false, ""confidence_rushed_like"": false}",researcher-facing response-process review cue; not an automatic careless-response decision
1,4,Pilot,Q12-1,s5_speed_over_accuracy,indecisive / difficult item,0.296,PAXSM_UNSTABLE_EXTRA_PATH,PAXSM unstable or extra-adjustment item process,PAXSM-specific item process,PAXSM_UNSTABLE_EXTRA_PATH,"Answer speed is high or flick-like (maxAbsVel=36.5307, fastFlickCount=0.0).","Answer correction is low (reverseCount=1.0, microAdjustCount=1.0).","Confidence stage shows hesitation or uncertainty (confidence=2.0, reverseCount(C)=0.0, microAdjustCount(C)=0.0, rt_conf=2.2271s).","This item showed extra movement, repeated correction, or hesitant confidence. This is better interpreted as uncertainty, item difficulty, or interaction instability than a simple rushed response. Evidence: Answer speed is high or flick-like (maxAbsVel=36.5307, fastFlickCount=0.0). Answer correction is low (reverseCount=1.0, microAdjustCount=1.0). Confidence stage shows hesitation or uncertainty (confidence=2.0, reverseCount(C)=0.0, microAdjustCount(C)=0.0, rt_conf=2.2271s).",6.0,4.0,80.0,6.0,120.0,-40.0,1.5,1.5,1.5,False,False,False,False,True,True,False,4.0,2.0,40.0,2.0,60.0,-30.0,1.0,True,False,True,True,2.0,2.0,3.9389,2.9648,2.2271,36.5307,1.0,1.0,9.0657,0.0,0.0,"[{""pattern_id"": ""PAXSM_UNSTABLE_EXTRA_PATH"", ""pattern_name"": ""PAXSM unstable or extra-adjustment item process"", ""pattern_source"": ""PAXSM-specific item process"", ""cue"": ""indecisive / difficult item"", ""priority"": 55, ""score"": 0.296, ""required_all"": [], ""required_any"": [""answer_extra_path"", ""answer_high_correction"", ""confidence_hesitant""], ""optional_hits"": [], ""explanation_template"": ""This item showed extra movement, repeated correction, or hesitant confidence. This is better interpreted as uncertainty, item difficulty, or interaction instability than a simple rushed response.""}]","{""read_rt_invalid"": false, ""read_rt_suspiciously_tiny"": false, ""read_short"": false, ""read_not_short"": true, ""answer_direct_path"": false, ""answer_low_path_effort"": false, ""answer_extra_path"": false, ""answer_path_under_expected"": false, ""answer_high_speed"": true, ""answer_not_high_speed"": false, ""answer_low_correction"": true, ""answer_high_correction"": false, ""answer_abrupt"": false, ""confidence_direct_path"": true, ""confidence_low_path_effort"": true, ""confidence_extra_path"": false, ""confidence_path_under_expected"": false, ""confidence_high_speed"": false, ""confidence_not_high_speed"": true, ""confidence_low_correction"": true, ""confidence_high_correction"": false, ""confidence_abrupt"": false, ""confidence_low"": true, ""confidence_high"": false, ""confidence_long"": false, ""confidence_hesitant"": true, ""answer_rushed_like"": false, ""confidence_rushed_like"": false}",researcher-facing response-process review cue; not an automatic careless-response decision
1,4,Pilot,Q13-1,s6_read_every_sentence,normal / reviewable,0.12,PAXSM_NORMAL_REVIEWABLE,No strong pattern match,PAXSM default,PAXSM_NORMAL_REVIEWABLE,"Answer speed is high or flick-like (maxAbsVel=35.7925, fastFlickCount=0.0).","Answer correction is low (reverseCount=1.0, microAdjustCount=1.0).",Read RT is not short (4.0084s).,"No major fixed-rule response-process concern was detected. Evidence: Answer speed is high or flick-like (maxAbsVel=35.7925, fastFlickCount=0.0). Answer correction is low (reverseCount=1.0, microAdjustCount=1.0). Read RT is not short (4.0084s).",2.0,4.0,80.0,6.0,120.0,40.0,1.5,1.5,1.5,False,False,False,False,True,True,False,2.0,2.0,40.0,2.0,60.0,30.0,1.0,True,False,True,False,6.0,4.0,4.0084,3.7864,2.3808,35.7925,1.0,1.0,5.9949,0.0,0.0,[],"{""read_rt_invalid"": false, ""read_rt_suspiciously_tiny"": false, ""read_short"": false, ""read_not_short"": true, ""answer_direct_path"": false, ""answer_low_path_effort"": false, ""answer_extra_path"": false, ""answer_path_under_expected"": false, ""answer_high_speed"": true, ""answer_not_high_speed"": false, ""answer_low_correction"": true, ""answer_high_correction"": false, ""answer_abrupt"": false, ""confidence_direct_path"": true, ""confidence_low_path_effort"": true, ""confidence_extra_path"": false, ""confidence_path_under_expected"": false, ""confidence_high_speed"": false, ""confidence_not_high_speed"": true, ""confidence_low_correction"": true, ""confidence_high_correction"": false, ""confidence_abrupt"": false, ""confidence_low"": false, ""confidence_high"": false, ""confidence_long"": false, ""confidence_hesitant"": false, ""answer_rushed_like"": false, ""confidence_rushed_like"": false}",researcher-facing response-process review cue; not an automatic careless-response decision
1,4,Pilot,Q14-1,s7_answer_by_gut,indecisive / difficult item,0.386,PAXSM_UNSTABLE_EXTRA_PATH,PAXSM unstable or extra-adjustment item process,PAXSM-specific item process,PAXSM_UNSTABLE_EXTRA_PATH,Answer speed is not high (maxAbsVel=17.9011).,"Answer correction is high (reverseCount=3.0, microAdjustCount=1.0).","Confidence stage shows hesitation or uncertainty (confidence=3.0, reverseCount(C)=1.0, microAdjustCount(C)=0.0, rt_conf=2.338s).","This item showed extra movement, repeated correction, or hesitant confidence. This is better interpreted as uncertainty, item difficulty, or interaction instability than a simple rushed response. Evidence: Answer speed is not high (maxAbsVel=17.9011). Answer correction is high (reverseCount=3.0, microAdjustCount=1.0). Confidence stage shows hesitation or uncertainty (confidence=3.0, reverseCount(C)=1.0, microAdjustCount(C)=0.0, rt_conf=2.338s).",6.0,2.0,40.0,6.0,120.0,0.0,3.0,3.0,3.0,False,False,False,False,False,False,True,4.0,1.0,20.0,3.0,90.0,0.0,3.0,False,False,True,True,4.0,3.0,10.5368,4.1895,2.338,17.9011,3.0,1.0,10.4058,1.0,0.0,"[{""pattern_id"": ""PAXSM_UNSTABLE_EXTRA_PATH"", ""pattern_name"": ""PAXSM unstable or extra-adjustment item process"", ""pattern_source"": ""PAXSM-specific item process"", ""cue"": ""indecisive / difficult item"", ""priority"": 55, ""score"": 0.386, ""required_all"": [], ""required_any"": [""answer_extra_path"", ""answer_high_correction"", ""confidence_hesitant""], ""optional_hits"": [], ""explanation_template"": ""This item showed extra movement, repeated correction, or hesitant confidence. This is better interpreted as uncertainty, item difficulty, or interaction instability than a simple rushed response.""}]","{""read_rt_invalid"": false, ""read_rt_suspiciously_tiny"": false, ""read_short"": false, ""read_not_short"": true, ""answer_direct_path"": false, ""answer_low_path_effort"": false, ""answer_extra_path"": false, ""answer_path_under_expected"": false, ""answer_high_speed"": false, ""answer_not_high_speed"": true, ""answer_low_correction"": false, ""answer_high_correction"": true, ""answer_abrupt"": false, ""confidence_direct_path"": false, ""confidence_low_path_effort"": false, ""confidence_extra_path"": true, ""confidence_path_under_expected"": false, ""confidence_high_speed"": false, ""confidence_not_high_speed"": true, ""confidence_low_correction"": true, ""confidence_high_correction"": false, ""confidence_abrupt"": false, ""confidence_low"": true, ""confidence_high"": false, ""confidence_long"": false, ""confidence_hesitant"": true, ""answer_rushed_like"": false, ""confidence_rushed_like"": false}",researcher-facing response-process review cue; not an automatic careless-response decision
1,4,Pilot,Q15-1,imc_select_6,indecisive / difficult item,0.455,PAXSM_UNSTABLE_EXTRA_PATH,PAXSM unstable or extra-adjustment item process,PAXSM-specific item process,PAXSM_UNSTABLE_EXTRA_PATH,Answer path shows extra movement (path_ratio=7.0).,"Answer speed is high or flick-like (maxAbsVel=70.2422, fastFlickCount=0.0).","Answer correction is high (reverseCount=2.0, microAdjustCount=2.0).","This item showed extra movement, repeated correction, or hesitant confidence. This is better interpreted as uncertainty, item difficulty, or interaction instability than a simple rushed response. Evidence: Answer path shows extra movement (path_ratio=7.0). Answer speed is high or flick-like (maxAbsVel=70.2422, fastFlickCount=0.0). Answer correction is high (reverseCount=2.0, microAdjustCount=2.0).",4.0,2.0,40.0,13.0,280.0,40.0,6.5,6.5,7.0,False,False,True,False,True,False,True,3.0,1.0,20.0,1.0,30.0,30.0,1.0,True,False,True,False,6.0,4.0,7.8778,8.1168,2.1997,70.2422,2.0,2.0,5.5412,0.0,0.0,"[{""pattern_id"": ""PAXSM_UNSTABLE_EXTRA_PATH"", ""pattern_name"": ""PAXSM unstable or extra-adjustment item process"", ""pattern_source"": ""PAXSM-specific item process"", ""cue"": ""indecisive / difficult item"", ""priority"": 55, ""score"": 0.455, ""required_all"": [], ""required_any"": [""answer_extra_path"", ""answer_high_correction"", ""confidence_hesitant""], ""optional_hits"": [], ""explanation_template"": ""This item showed extra movement, repeated correction, or hesitant confidence. This is better interpreted as uncertainty, item difficulty, or interaction instability than a simple rushed response.""}]","{""read_rt_invalid"": false, ""read_rt_suspiciously_tiny"": false, ""read_short"": false, ""read_not_short"": true, ""answer_direct_path"": false, ""answer_low_path_effort"": false, ""answer_extra_path"": true, ""answer_path_under_expected"": false, ""answer_high_speed"": true, ""answer_not_high_speed"": false, ""answer_low_correction"": false, ""answer_high_correction"": true, ""answer_abrupt"": false, ""confidence_direct_path"": true, ""confidence_low_path_effort"": true, ""confidence_extra_path"": false, ""confidence_path_under_expected"": false, ""confidence_high_speed"": false, ""confidence_not_high_speed"": true, ""confidence_low_correction"": true, ""confidence_high_correction"": false, ""confidence_abrupt"": false, ""confidence_low"": false, ""confidence_high"": false, ""confidence_long"": false, ""confidence_hesitant"": false, ""answer_rushed_like"": false, ""confidence_rushed_like"": false}",researcher-facing response-process review cue; not an automatic careless-response decision
